"Viewing","Participant","Congruency","Alignment","RT","Count"
"monocular","8217","congruent","misaligned",515.878030258621,58
"monocular","8217","incongruent","aligned",524.813859890909,55
"monocular","8217","incongruent","misaligned",497.49231995082,61
"monocular","8218","congruent","aligned",677.640406521127,71
"monocular","8218","congruent","misaligned",713.332235535211,71
"monocular","8218","incongruent","aligned",794.999230294118,68
"monocular","8218","incongruent","misaligned",722.130817144928,69
"monocular","8221","congruent","aligned",618.94328872973,74
"monocular","8221","congruent","misaligned",619.636611911765,68
"monocular","8221","incongruent","aligned",659.226142758064,62
"monocular","8221","incongruent","misaligned",624.623845924242,66
"monocular","8222","congruent","aligned",725.913325293333,75
"monocular","8222","congruent","misaligned",851.669267957746,71
"monocular","8222","incongruent","aligned",900.137041352113,71
"monocular","8222","incongruent","misaligned",772.902272041096,73
"monocular","8223","congruent","aligned",823.382796613333,75
"monocular","8223","congruent","misaligned",874.177998597222,72
"monocular","8223","incongruent","aligned",928.88690904054,74
"monocular","8223","incongruent","misaligned",829.462307890625,64
"monocular","8224","congruent","aligned",741.269270013333,75
"monocular","8224","congruent","misaligned",719.56490075,72
"monocular","8224","incongruent","aligned",775.491120686567,67
"monocular","8224","incongruent","misaligned",698.432796343284,67
"monocular","8225","congruent","aligned",592.496930472222,72
"monocular","8225","congruent","misaligned",581.622749369231,65
"monocular","8225","incongruent","aligned",673.695629211268,71
"monocular","8225","incongruent","misaligned",571.030582438356,73
"monocular","8227","congruent","aligned",762.196499927536,69
"monocular","8227","congruent","misaligned",708.907258650794,63
"monocular","8227","incongruent","aligned",789.87865759375,64
"monocular","8227","incongruent","misaligned",764.051436968254,63
"monocular","8228","congruent","aligned",587.69853684,75
"monocular","8228","congruent","misaligned",590.849749324324,74
"monocular","8228","incongruent","aligned",650.221591123288,73
"monocular","8228","incongruent","misaligned",646.742256621622,74
"monocular","8229","congruent","aligned",702.257259771429,70
"monocular","8229","congruent","misaligned",665.931182462687,67
"monocular","8229","incongruent","aligned",722.25097058209,67
"monocular","8229","incongruent","misaligned",696.8481795,70
"monocular","8230","congruent","aligned",857.734155647059,68
"monocular","8230","congruent","misaligned",793.072500544118,68
"monocular","8230","incongruent","aligned",812.412961742424,66
"monocular","8230","incongruent","misaligned",872.940053758065,62
"monocular","8233","congruent","aligned",478.507994197183,71
"monocular","8233","congruent","misaligned",493.175730084507,71
"monocular","8233","incongruent","aligned",494.878866015385,65
"monocular","8233","incongruent","misaligned",497.445006671875,64
"monocular","8234","congruent","aligned",737.175939986111,72
"monocular","8234","congruent","misaligned",711.31796648,75
"monocular","8234","incongruent","aligned",800.741416842857,70
"monocular","8234","incongruent","misaligned",736.348764613333,75
