Viewing,Participant,Congruency,Alignment,FaceGroup,WithCatch,isCorrect,reactionTime,ExpCode,RT.Z,View_D,Con_D,Ali_D,View_Con,View_Ali,Con_Ali,View_Con_Ali
CFS,603,congruent,misaligned,M4,FALSE,1,0.120967535,E1,0.29111680181092203,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M1,FALSE,1,0.041017763,E1,-0.6528929426354589,0,1,1,0,0,1,0
CFS,603,congruent,aligned,M5,FALSE,1,0.256347502,E1,1.5874126450852202,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,M2,FALSE,1,0.271406258,E1,1.7556112450514962,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,M1,FALSE,1,0.210597447,E1,1.3154684892772939,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,M5,FALSE,1,0.095949102,E1,-0.28812285689807376,0,1,0,0,0,0,0
CFS,603,incongruent,misaligned,F5,FALSE,1,6.44955e-4,E1,-1.0939094678250605,0,1,1,0,0,1,0
CFS,603,congruent,aligned,F2,FALSE,1,0.041341374,E1,-0.6168960629512398,0,0,0,0,0,0,0
CFS,603,congruent,aligned,M3,FALSE,1,6.87724e-4,E1,-1.0336897401457168,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,F4,FALSE,1,0.081256105,E1,-0.16273247042983066,0,0,1,0,0,0,0
CFS,603,congruent,misaligned,M5,FALSE,1,6.10055e-4,E1,-1.0844104634306204,0,0,1,0,0,0,0
CFS,603,congruent,misaligned,F2,FALSE,1,6.63773e-4,E1,-1.0837965375355763,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M5,FALSE,1,0.09629878,E1,-0.0490250614049214,0,1,1,0,0,1,0
CFS,603,congruent,aligned,F3,FALSE,1,5.76183e-4,E1,-1.0348332926569417,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,F2,FALSE,1,0.116182551,E1,-0.05244258791344811,0,1,0,0,0,0,0
CFS,603,congruent,aligned,M2,FALSE,1,0.030413815,E1,-0.7289287463233258,0,0,0,0,0,0,0
CFS,603,incongruent,misaligned,M1,FALSE,1,0.006225782,E1,-1.0329467294585761,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,M3,FALSE,1,0.035720558,E1,-0.6831437189553707,0,0,1,0,0,0,0
CFS,603,congruent,aligned,M1,FALSE,1,0.091495662,E1,-0.10269893372444618,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,M3,FALSE,1,0.08077333,E1,-0.16824995198126372,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,F1,FALSE,1,0.010742519,E1,-1.2806135786084865,0,1,0,0,0,0,0
CFS,603,incongruent,misaligned,M2,FALSE,1,0.021321832,E1,-0.86804347291302,0,1,1,0,0,1,0
CFS,603,congruent,aligned,M5,FALSE,1,0.015478575,E1,-0.8820494033708982,0,0,0,0,0,0,0
CFS,603,congruent,aligned,M3,FALSE,1,5.7413e-4,E1,-1.0348543406420372,0,0,0,0,0,0,0
