ExpCode,Participant,CFS_Cover,WithCatch,CFS.congruent.aligned,CFS.congruent.misaligned,CFS.incongruent.aligned,CFS.incongruent.misaligned,monocular.congruent.aligned,monocular.congruent.misaligned,monocular.incongruent.aligned,monocular.incongruent.misaligned
E4,1219,test,1,3.289707253902943,2.7952030073274794,3.0843850978899274,3.886256354556418,2.7952030073274794,3.2415155500846544,2.7952030073274794,3.5229542931495472
E4,1220,test,1,3.6809341985434023,3.604817611491525,2.879062941876912,3.2415155500846544,3.919927969080107,3.1103133649160615,3.3994954554785095,3.2415155500846544
E4,1221,test,1,3.0843850978899274,1.8691785821469595,2.5898808513144638,2.9264051924960723,3.0843850978899274,2.31798495503839,1.5323494171159582,2.879062941876912
E4,1222,test,1,1.3768246929952421,2.278603348504429,1.3768246929952421,1.6448536269514715,1.8113973386804154,2.390691283835511,0.6588564110708303,1.7465814045973944
E4,1223,test,1,3.6809341985434023,2.9968177539654155,2.8945532756135335,2.400268653311941,3.886256354556418,3.2415155500846544,2.5794429180249514,2.681287016445261
E4,1224,test,1,2.681287016445261,2.996397374033843,3.0830239611778607,3.5229542931495472,2.7952030073274794,2.681287016445261,2.5794429180249514,3.2415155500846544
E4,1225,test,1,3.3994954554785095,3.1103133649160615,3.289707253902943,3.3994954554785095,4.482805455209893,3.2415155500846544,3.886256354556418,4.201366712145
E4,1226,test,1,3.277836117098736,2.801585218112968,2.4137261747099332,2.0369665919050703,4.201366712145,3.2415155500846544,2.4137261747099332,3.289707253902943
E4,1227,test,1,3.5229542931495472,3.1103133649160615,2.4319009459206087,2.7210830364830567,3.3917521079809543,3.604817611491525,3.1759920186784263,3.3917521079809543
E4,1228,test,1,2.5794429180249514,2.801585218112968,3.277836117098736,3.0830239611778607,4.201366712145,2.5631031310892016,2.5631031310892016,2.4319009459206087
E4,1229,test,1,1.9639319836464966,2.5898808513144638,2.7210830364830567,2.8945532756135335,2.8945532756135335,2.7210830364830567,2.31798495503839,2.7210830364830567
E4,1230,test,1,1.7353137557144804,1.7353137557144804,1.3442583434878146,1.1955202520849568,2.486474860524386,2.4843644972480945,0.7135189389808331,1.8248391305720895
E4,1231,test,1,3.277836117098736,2.7952030073274794,2.5898808513144638,3.1103133649160615,2.996397374033843,3.1103133649160615,2.695164917774826,2.915892477801028
E4,1232,test,1,1.8339720532242638,1.758170834902831,1.6928785740742556,2.1949464972989254,1.6090790412695615,1.6341935155362677,1.5356698467835754,1.8780546230667037
E4,1233,test,1,2.681287016445261,2.4759648604322453,2.7952030073274794,2.4759648604322453,2.5631031310892016,3.3994954554785095,2.123172799117515,2.7210830364830567
E4,1234,test,1,4.201366712145,3.289707253902943,2.9264051924960723,3.6809341985434023,3.6809341985434023,4.482805455209893,2.28115270451137,2.7952030073274794
E4,1235,test,1,1.9919706139489222,2.374120762011936,2.24261375299395,2.5794429180249514,2.7210830364830567,2.5898808513144638,1.4299047765565511,3.2415155500846544
